operacion;cliente;comercial;origen;destino;incoterm;pais;transporte;qpallets;costotransporte;tarifacomerciales;precio;agencia;fechacarga;producto
233;2400;DAVID;OLIVES;LOMATRANS;DAP;FRANCIA;CAMION;33;1590;1680;12899;SENNDER;7/2020;ACEITUNAS VERDES  RODAJAS
234;10300;PACHI;ACENORCA;SAN PETERSBURGO;CFR;RUSIA;40';25;1270;1900;26180;PINTO BASTO;7/2020;ACEITUNAS VERDES  RODAJAS
235;100;PACHI;OSUNA;NHAVA SHEVA;CFR;INDIA;20';11;1650;2000;11517;TRANSITEX;7/2020;ACEITUNAS VERDES  RODAJAS
236;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;20';11;1940;2100;21580;RABEN AIRSEA;7/2020;ACEITUNAS RELLENAS PIMIENTO
237;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1250;1800;21580;BRAID;7/2020;ACEITUNAS RELLENAS PIMIENTO
238;2100;DAVID;ARASOL;MANCHESTER;DDP;REINO UNIDO;40';25;2365;2530;24120;CONTAINERSHIPS;7/2020;ACEITUNAS RELLENAS PIMIENTO
239;100;PACHI;OSUNA;JEBEL ALI;CFR;EMIRATOS ARABES UNIDOS;20';11;1250;1800;5803;BRAID;7/2020;ACEITUNAS VERDES SIN HUESO
240;3200;DAVID;ACENORCA;LURE;DAP;FRANCIA;CAMION;33;1850;2000;8497;RLC;7/2020;ACEITUNAS VERDES SIN HUESO
241;8400;MARIA;ARASOL;NEW YORK;CFR;ESTADOS UNIDOS;40';25;3165;1900;24120;TRANSITEX;7/2020;ACEITUNAS RELLENAS PIMIENTO
242;4800;DAVID;ARASOL;CHARD;DAP;REINO UNIDO;20';11;2615;2900;9108;ELLERMAN;7/2020;ACEITUNAS NEGRAS RODAJAS
243;6300;PACHI;OLIVES;GDANSK;DDP;POLONIA;40';25;2200;2100;24120;EUROSHIPPING;7/2020;ACEITUNAS RELLENAS PIMIENTO
244;3700;DAVID;ARASOL;PARK ROYAL;DAP;REINO UNIDO;40';25;1640;2200;20700;TRANSITEX;7/2020;ACEITUNAS NEGRAS RODAJAS
245;6900;DAVID;ACENORCA;PONTE BUGGIANESE;DAP;ITALIA;CAMION;33;1730;1900;10053;LIBERTIA;7/2020;ACEITUNAS  RELLENAS  ANCHOA
246;1600;PACHI;OSUNA;ENNORE;CIF;INDIA;20';11;1815;2500;5803;PINTO BASTO;7/2020;ACEITUNAS VERDES SIN HUESO
247;3200;DAVID;ACENORCA;LURE;DAP;FRANCIA;CAMION;33;2550;2850;10201;VERTEX;7/2020;ACEITUNAS NEGRAS RODAJAS
248;2100;DAVID;ARASOL;MANCHESTER;DAP;REINO UNIDO;40';25;2238;2600;13188;CONTAINERSHIPS;7/2020;ACEITUNAS VERDES SIN HUESO
249;2100;DAVID;ARASOL;MANCHESTER;DDP;REINO UNIDO;40';25;3000;3900;13188;CONTAINERSHIPS;7/2020;ACEITUNAS VERDES SIN HUESO
250;1400;ISABEL;ACENORCA;HAIFA;CFR;ISRAEL;40';25;1575;2650;13188;TRANSITEX;7/2020;ACEITUNAS VERDES SIN HUESO
