BL/AWB/PRO	Container	Purchase Order	Forwarder	Est. POL Date	Est. POD Date	Mode	POL	País	Customs Inspection	Planned to HUB	Planned to Warehouse	Cont. Date 1	Carrier	Order Qty	Transport price
XM2212009E/02	TEMU9364098	122850- 122852- 122855- 122860- 122906- 122924- 122926- 120899- 120934- 120936- 120938- 120939	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	1400	2800
XM2212009E/03	TEMU9364098	122850- 122852- 122855- 122860- 122906- 122924- 122926- 120899- 120934- 120936- 120938- 120939	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	64900	2800
XM2212009D/01	CXRU1470529	123354- 123358- 123351- 123364- 123374- 123387- 123395- 123406- 124476- 124609	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Maersk Line	6502	3300
XM2212009D/01	SZLU9265889	121853- 121859- 122810- 123899- 123904- 123905- 123903- 123900- 123913- 123907- 123915- 123901- 123914- 123916- 124530- 124886- 124890	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Maersk Line	8100	3300
XM2212009D/04	CXRU1470529	123354- 123358- 123351- 123364- 123374- 123387- 123395- 123406- 124476- 124609	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	5503	2800
XM2212009D/05	CXRU1470529	123354- 123358- 123351- 123364- 123374- 123387- 123395- 123406- 124476- 124609	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	3801	2800
XM2212009D/02	SZLU9265889	121853- 121859- 122810- 123899- 123904- 123905- 123903- 123900- 123913- 123907- 123915- 123901- 123914- 123916- 124530- 124886- 124890	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	19900	2800
XM2212009D/03	SZLU9265889	121853- 121859- 122810- 123899- 123904- 123905- 123903- 123900- 123913- 123907- 123915- 123901- 123914- 123916- 124530- 124886- 124890	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN				1	20/1/2023	Mediterranean Shipping Company (MSC)	7000	2800
XM2212009F/01	MEDU9001700	121858- 121857- 121862- 121869- 122059- 122134- 122154- 122216- 122215- 122247- 122246- 122249- 122248- 122296- 123418- 123414- 123461- 123445- 123475- 123466- 123479- 123481- 123493- 123491- 123498- 123499- 123505- 123507- 121921	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN		1	1		6/2/2023	Mediterranean Shipping Company (MSC)	1000	2800
XM2212009F/01	SEGU9665578	121930- 121931- 121945- 121961- 122114- 122266- 122261- 122267- 122273- 122280- 122282- 122281- 122285- 122283- 122286- 122287- 122288- 122292- 122291- 122293- 122294- 122300- 122301- 124030- 124267- 124506- 124511- 124625- 124627- 124623- 124624- 124629- 124630- 124632- 124635- 124663- 124665- 124667- 124674- 124675- 124677- 124678- 124682- 124699	OPERACIONES INTERNACIONALES MAS ASOCIADOS- S.L	12/12/2022	16/1/2023	Ocean	Xiamen- CN		1		1	6/2/2023	Mediterranean Shipping Company (MSC)	4903	2800
